date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:23	13828/13828	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Sep%202007%2012:43:38%20GMT	http://needlebar.org/main/makers/australia/wertheim/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/australia/wertheim/index.html	(from http://needlebar.org/main/)
10:45:24	31430/31430	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202009%2014:18:51%20GMT	http://needlebar.org/main/elna/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/elna/index.html	(from http://needlebar.org/main/)
10:45:25	36985/36985	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jul%202010%2008:04:37%20GMT	http://needlebar.org/main/elna/index1.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/elna/index1.html	(from http://needlebar.org/main/)
10:45:26	1387/1387	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Nov%202008%2010:22:51%20GMT	http://needlebar.org/main/pfaff/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/pfaff/index.html	(from http://needlebar.org/main/)
10:45:27	22065/22065	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:38:34%20GMT	http://needlebar.org/main/logos/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/logos/index.html	(from http://needlebar.org/main/)
10:45:28	56097/56097	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:45:34%20GMT	http://needlebar.org/main/makers/germany/b/baerrempel/br.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/germany/b/baerrempel/br.html	(from http://needlebar.org/main/)
10:45:29	16797/16797	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:38:31%20GMT	http://needlebar.org/main/survresults/fristerrossmann/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/survresults/fristerrossmann/index.html	(from http://needlebar.org/main/)
10:45:30	16891/16891	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:20:28%20GMT	http://needlebar.org/main/boxes/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/boxes/index.html	(from http://needlebar.org/main/)
10:45:31	25328/25328	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:27:43%20GMT	http://needlebar.org/main/germants/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/germants/index.html	(from http://needlebar.org/main/)
10:45:32	3758/3758	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:27:44%20GMT	http://needlebar.org/main/germants/index2.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/germants/index2.html	(from http://needlebar.org/main/)
10:45:33	8697/8697	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:27:45%20GMT	http://needlebar.org/main/germants/index3.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/germants/index3.html	(from http://needlebar.org/main/)
10:45:34	31321/31321	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2016:48:23%20GMT	http://needlebar.org/main/saxonia/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/saxonia/index.html	(from http://needlebar.org/main/)
10:45:35	15523/15523	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20May%202013%2019:55:16%20GMT	http://needlebar.org/main/sident/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/sident/index.html	(from http://needlebar.org/main/)
10:45:36	71138/71138	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:35:23%20GMT	http://needlebar.org/main/singervs/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/singervs/index.html	(from http://needlebar.org/main/)
10:45:37	39262/39262	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Apr%202012%2006:07:50%20GMT	http://needlebar.org/main/15chart/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/15chart/index.html	(from http://needlebar.org/main/)
10:45:38	55026/55026	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:16:24%20GMT	http://needlebar.org/main/singer24/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/singer24/index.html	(from http://needlebar.org/main/)
10:45:39	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:39%20GMT	http://needlebar.org/nbwiki/index.php?title=29	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/indexe081.php	(from http://needlebar.org/main/)
10:45:40	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:40%20GMT	http://needlebar.org/nbwiki/index.php/Singer_Machine_Decoration	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index.php/Singer_Machine_Decoration	(from http://needlebar.org/main/)
10:45:41	5520/5520	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:22:04%20GMT	http://needlebar.org/main/singercabs/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/singercabs/index.html	(from http://needlebar.org/main/)
10:45:42	10842/10842	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2016:42:43%20GMT	http://needlebar.org/main/puzzles/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/puzzles/index.html	(from http://needlebar.org/main/)
10:45:43	39677/39677	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2009:19:29%20GMT	http://needlebar.org/main/singprodfigs/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/singprodfigs/index.html	(from http://needlebar.org/main/)
10:45:44	13230/13230	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202010%2023:13:56%20GMT	http://needlebar.org/main/industrial/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/industrial/index.html	(from http://needlebar.org/main/)
10:45:45	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:45%20GMT	http://needlebar.org/nbwiki/index.php?title=Singer_48K	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index2e36.php	(from http://needlebar.org/main/)
10:45:46	7181/7181	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2016:40:08%20GMT	http://needlebar.org/main/otto/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/otto/index.html	(from http://needlebar.org/main/)
10:45:47	2406/2406	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:36:43%20GMT	http://needlebar.org/main/star/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/star/index.html	(from http://needlebar.org/main/)
10:45:48	8106/8106	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Sep%202012%2006:14:15%20GMT	http://needlebar.org/main/early12s/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/early12s/index.html	(from http://needlebar.org/main/)
10:45:49	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:49%20GMT	http://needlebar.org/nbwiki/index.php?title=New_Home_Sewing_Machine_Company	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index022a.php	(from http://needlebar.org/main/)
10:45:50	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:50%20GMT	http://needlebar.org/nbwiki/index.php?title=National_Sewing_Machine_Company	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index8be5.php	(from http://needlebar.org/main/)
10:45:51	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Mar%202024%2014:45:51%20GMT	http://needlebar.org/nbwiki/index.php?title=Goodrich	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index9ddd.php	(from http://needlebar.org/main/)
10:45:52	5312/5312	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20May%202012%2004:50:10%20GMT	http://needlebar.org/main/makers/usa/histories/king/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/usa/histories/king/index.html	(from http://needlebar.org/main/)
10:45:53	22628/22628	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Jun%202010%2006:35:11%20GMT	http://needlebar.org/main/boye/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/boye/index.html	(from http://needlebar.org/main/)
10:45:54	36985/36985	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20May%202013%2007:41:56%20GMT	http://needlebar.org/main/survresults/standard1/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/survresults/standard1/index.html	(from http://needlebar.org/main/)
10:45:55	7288/7288	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:38:48%20GMT	http://needlebar.org/main/survresults/homeshuttle/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/survresults/homeshuttle/index.html	(from http://needlebar.org/main/)
10:45:56	1695/1695	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2016:44:43%20GMT	http://needlebar.org/main/restoration/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/restoration/index.html	(from http://needlebar.org/main/)
10:45:57	15953/15953	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202008%2006:26:51%20GMT	http://needlebar.org/main/restoration/seized/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/restoration/seized/index.html	(from http://needlebar.org/main/)
10:45:58	16055/16055	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Sep%202008%2006:26:51%20GMT	http://needlebar.org/main/restoration/seized/index1.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/restoration/seized/index1.html	(from http://needlebar.org/main/)
10:46:01	2331/2331	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Mar%202009%2012:39:54%20GMT	http://needlebar.org/needles/index.htm	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/needles/index.html	(from http://needlebar.org/main/)
10:46:03	11014/11014	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202008%2012:39:34%20GMT	http://needlebar.org/main/badged/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/badged/index.html	(from http://needlebar.org/main/)
10:46:04	11491/11491	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202007%2018:30:51%20GMT	http://needlebar.org/main/humbleneedle/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/humbleneedle/index.html	(from http://needlebar.org/main/)
10:46:04	2910/2910	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Sep%202007%2008:55:58%20GMT	http://needlebar.org/main/shuttypes/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/shuttypes/index.html	(from http://needlebar.org/main/)
10:46:06	11993/11993	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2017:41:47%20GMT	http://needlebar.org/main/winders/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/winders/index.html	(from http://needlebar.org/main/)
10:46:08	121212/121212	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Nov%202012%2010:24:18%20GMT	http://needlebar.org/main/makers/uk/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/uk/index.html	(from http://needlebar.org/main/)
10:46:12	251712/251712	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202008%2013:34:36%20GMT	http://needlebar.org/main/makers/germany/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/germany/index.html	(from http://needlebar.org/main/)
10:46:12	69388/69388	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jan%202008%2018:39:26%20GMT	http://needlebar.org/main/makers/usa/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/usa/index.html	(from http://needlebar.org/main/)
10:46:12	22434/22434	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:44:24%20GMT	http://needlebar.org/main/makers/canada/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/canada/index.html	(from http://needlebar.org/main/)
10:46:14	24066/24066	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202007%2009:49:00%20GMT	http://needlebar.org/main/makers/australia/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/australia/index.html	(from http://needlebar.org/main/)
10:46:18	123544/123544	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:45:00%20GMT	http://needlebar.org/main/makers/france/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/france/index.html	(from http://needlebar.org/main/)
10:46:20	47903/47903	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:58:32%20GMT	http://needlebar.org/main/makers/japan/index.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/makers/japan/index.html	(from http://needlebar.org/main/)
10:46:20	0/0	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2020%20Mar%202024%2014:46:19%20GMT	http://needlebar.org/nbwiki/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/nbwiki/index.html	(from http://needlebar.org/)
10:46:20	0/0	---MCZ	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2020%20Mar%202024%2014:46:18%20GMT	http://needlebar.org/bb2/	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/bb2/index.html	(from http://needlebar.org/)
10:46:21	311/311	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:31:39%20GMT	http://needlebar.org/main/graphics/paper.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/graphics/paper.jpg	(from http://needlebar.org/main/survey/index.html)
10:46:22	4925/4925	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:18:09%20GMT	http://needlebar.org/main/biblio/library.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/library.html	(from http://needlebar.org/main/biblio/index.html)
10:46:24	1723/1723	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:31%20GMT	http://needlebar.org/main/biblio/stars5.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars5.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:24	1599/1599	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:30%20GMT	http://needlebar.org/main/biblio/stars4.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars4.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:26	1460/1460	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:29%20GMT	http://needlebar.org/main/biblio/stars3.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars3.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:26	1321/1321	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:28%20GMT	http://needlebar.org/main/biblio/stars2.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars2.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:28	769/769	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:27%20GMT	http://needlebar.org/main/biblio/stars1.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars1.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:28	208/208	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Mar%202007%2015:18:26%20GMT	http://needlebar.org/main/biblio/stars0.gif	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/stars0.gif	(from http://needlebar.org/main/biblio/index.html)
10:46:30	5192/5192	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:16:52%20GMT	http://needlebar.org/main/biblio/baysth.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/baysth.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:32	11104/11104	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:19%20GMT	http://needlebar.org/main/biblio/needlecover.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/needlecover.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:34	4591/4591	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:16%20GMT	http://needlebar.org/main/biblio/mrneedlebar.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/mrneedlebar.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:34	3916/3916	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:23%20GMT	http://needlebar.org/main/biblio/comments/lawencyc.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/lawencyc.html	(from http://needlebar.org/main/biblio/index.html)
10:46:36	4715/4715	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:05%20GMT	http://needlebar.org/main/biblio/lawth.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/lawth.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:38	8903/8903	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:04%20GMT	http://needlebar.org/main/biblio/law2th.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/law2th.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:38	2279/2279	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:20%20GMT	http://needlebar.org/main/biblio/comments/ismacsrecman.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/ismacsrecman.html	(from http://needlebar.org/main/biblio/index.html)
10:46:40	5246/5246	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:17:54%20GMT	http://needlebar.org/main/biblio/ismacs2th.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/ismacs2th.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:40	2027/2027	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:01%20GMT	http://needlebar.org/main/biblio/comments/bays.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/bays.html	(from http://needlebar.org/main/biblio/index.html)
10:46:42	1739/1739	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:33%20GMT	http://needlebar.org/main/biblio/comments/urquhart.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/urquhart.html	(from http://needlebar.org/main/biblio/index.html)
10:46:44	6937/6937	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:34%20GMT	http://needlebar.org/main/biblio/urqhuart.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/urqhuart.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:44	1934/1934	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:07%20GMT	http://needlebar.org/main/biblio/comments/cooper.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/cooper.html	(from http://needlebar.org/main/biblio/index.html)
10:46:46	2138/2138	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:17:40%20GMT	http://needlebar.org/main/biblio/cooperth.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/cooperth.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:46	2365/2365	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:34%20GMT	http://needlebar.org/main/biblio/comments/wilhelmalte.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/wilhelmalte.html	(from http://needlebar.org/main/biblio/index.html)
10:46:48	3766/3766	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:38%20GMT	http://needlebar.org/main/biblio/wilhelmth.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/wilhelmth.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:48	3702/3702	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:37%20GMT	http://needlebar.org/main/biblio/wilhelm2th.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/wilhelm2th.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:50	2185/2185	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:10%20GMT	http://needlebar.org/main/biblio/comments/ditzenbach.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/ditzenbach.html	(from http://needlebar.org/main/biblio/index.html)
10:46:52	4819/4819	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202007%2015:18:14%20GMT	http://needlebar.org/main/biblio/meyth.jpg	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/meyth.jpg	(from http://needlebar.org/main/biblio/index.html)
10:46:52	2302/2302	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202007%2015:17:14%20GMT	http://needlebar.org/main/biblio/comments/ditzenbach2.html	/Users/pbc/git/needlebar.org/needlebar.org/needlebar.org/main/biblio/comments/ditzenbach2.html	(from http://needlebar.org/main/biblio/index.html)
